content_id,genre_id
1,1
2,15
3,4
4,7
5,7
6,10
7,14
8,17
9,4
10,7
11,7
12,17
13,2
14,4
15,9
16,9
17,5
18,7
19,4
20,8
21,8
22,7
23,7
24,12
25,14
26,7
27,9
28,9
29,15
30,14
31,7
32,9
33,1
34,4
35,4
36,8
37,17
38,8
39,1
40,4
41,14
42,4
43,1
44,4
45,7
46,12
47,14
48,1
49,4
50,4
51,17
52,7
53,7
54,7
55,15
56,4
57,4
58,15
59,8
60,6
61,14
62,4
63,1
64,2
65,8
66,14
67,4
68,7
69,18
70,7
71,19
72,7
73,17
74,9
75,13
76,4
77,9
78,4
79,2
80,1
81,10
82,10
83,7
84,9
85,18
86,7
87,1
88,2
89,1
90,15
91,7
92,10
93,7
94,18
95,2
96,10
97,1
98,1
99,7
100,2
101,12
102,1
103,7
104,1
105,2
106,7
107,17
108,1
109,1
110,1
111,14
112,7
113,8
114,13
115,17
116,14
117,16
118,1
119,17
120,11
121,11
122,3